document_id,site_id,study_code,item,category,expected_capability,is_required,printed_as
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Ultrasound,PROCEDURE,CAN,FALSE,Ultrasound
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Off-site Pharmacy,EQUIPMENT,CAN,FALSE,Offsite pharmacy
survey_05_site_005_d0000c00020,SITE_005,D0000C00020,Document Archive,EQUIPMENT,CAN,FALSE,Document Archive
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Echocardiogram,PROCEDURE,CAN,TRUE,Echocardiogram (ECHO)
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Cardiac MRI,PROCEDURE,CAN,TRUE,Cardiac MRI scan
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Cardiac PYP Scan,PROCEDURE,CANNOT,TRUE,Cardiac PYP
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,NT-proBNP Testing,PROCEDURE,CAN,TRUE,NT-proBNP blood testing
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Genetic Testing,PROCEDURE,CAN,TRUE,Genetic Testing
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Plasma Sampling,PROCEDURE,CAN,TRUE,Plasma Sampling
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,-70C Freezer,EQUIPMENT,CAN,TRUE,-70°C Freezer
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Ultrasound,PROCEDURE,CAN,FALSE,Ultrasound
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,X-Ray,PROCEDURE,CAN,FALSE,X-Ray
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_06_site_006_d0000c00030,SITE_006,D0000C00030,Document Archive,EQUIPMENT,CAN,FALSE,Document Archive
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Echocardiogram,PROCEDURE,CAN,TRUE,Echocardiogram (ECHO)
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Cardiac MRI,PROCEDURE,CANNOT,TRUE,Cardiac MRI scan
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Cardiac PYP Scan,PROCEDURE,CANNOT,TRUE,Cardiac PYP
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,NT-proBNP Testing,PROCEDURE,CAN,TRUE,NT-proBNP blood testing
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Genetic Testing,PROCEDURE,CANNOT,TRUE,Genetic Testing
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Plasma Sampling,PROCEDURE,CAN,TRUE,Plasma Sampling
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,-70C Freezer,EQUIPMENT,CAN,TRUE,-70°C Freezer
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Ultrasound,PROCEDURE,CAN,FALSE,Ultrasound
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,Urinalysis,PROCEDURE,CAN,FALSE,Urinalysis
survey_07_site_007_d0000c00030,SITE_007,D0000C00030,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,CT Scan,PROCEDURE,CAN,TRUE,CT scan
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Visual Acuity Test,PROCEDURE,CAN,TRUE,Visual acuity test
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Slit Lamp Examination,PROCEDURE,CAN,TRUE,Slit lamp exam
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Fluorescein Corneal Staining,PROCEDURE,CANNOT,TRUE,Fluorescein Corneal Staining
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Intraocular Pressure Measurement,PROCEDURE,CANNOT,TRUE,Intraocular pressure
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Tumour Biopsy,PROCEDURE,CAN,TRUE,Tumor biopsy
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Serum Sampling (Frozen),PROCEDURE,CAN,TRUE,Serum sample (frozen)
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,Ultrasound,PROCEDURE,CAN,FALSE,Ultrasound
survey_08_site_008_d0000c00040,SITE_008,D0000C00040,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,Spirometry,PROCEDURE,CAN,TRUE,Spirometry
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,12-Lead ECG,PROCEDURE,CAN,TRUE,12 Lead ECG
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,X-Ray,PROCEDURE,CANNOT,TRUE,X-Ray
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,Whole Blood Sampling (Ambient),PROCEDURE,CAN,TRUE,Whole Blood Sampling (Ambient)
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,Refrigerated Sample Storage,EQUIPMENT,CAN,TRUE,Refrigerated Sample Storage
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,eCOA Device,EQUIPMENT,CAN,TRUE,eCOA Device
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,Urinalysis,PROCEDURE,CAN,FALSE,Urinalysis
survey_09_site_009_d0000c00050,SITE_009,D0000C00050,Off-site Pharmacy,EQUIPMENT,CAN,FALSE,Offsite pharmacy
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,CT Scan,PROCEDURE,CAN,TRUE,CT scan
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Echocardiogram,PROCEDURE,CAN,TRUE,Echocardiogram (ECHO)
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Tumour Biopsy,PROCEDURE,CAN,TRUE,Tumor biopsy
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Bone Marrow Biopsy,PROCEDURE,CANNOT,TRUE,Marrow biopsy
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Plasma Sampling,PROCEDURE,CAN,TRUE,Plasma Sampling
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Serum Sampling (Frozen),PROCEDURE,CAN,TRUE,Serum sample (frozen)
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Centrifuge,EQUIPMENT,CAN,TRUE,Centrifuge
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,-70C Freezer,EQUIPMENT,CAN,TRUE,-70°C Freezer
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Temperature-Monitored Storage,EQUIPMENT,CANNOT,TRUE,Temperature-Monitored Storage
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,X-Ray,PROCEDURE,CAN,FALSE,X-Ray
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,PET,PROCEDURE,CAN,FALSE,PET
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,On-site Pharmacy,EQUIPMENT,CAN,FALSE,On-site Pharmacy
survey_10_site_010_d0000c00060,SITE_010,D0000C00060,Document Archive,EQUIPMENT,CAN,FALSE,Document Archive
